,Restaurant_id,City,Cuisine Style,Ranking,Price Range,Number of Reviews,Reviews,URL_TA,ID_TA,URL,nr_reviews,excellent,v_good,average,poor,terrible
10,id_10,Rome,,1209.0,,306.0,"[['Very pretentious, but drinks are top notch', 'A private cocktail bar open to the public'], ['09/11/2017', '06/25/2017']]",/Restaurant_Review-g187791-d7818546-Reviews-Jerry_Thomas_Speakeasy-Rome_Lazio.html,d7818546,https://www.tripadvisor.com//Restaurant_Review-g187791-d7818546-Reviews-Jerry_Thomas_Speakeasy-Rome_Lazio.html,453,88,16,8,5,11
11,id_11,Milan,['Italian'],4234.0,$$ - $$$,36.0,"[['GREAT APERITIVO WITH STYLE', 'Disappointing'], ['05/16/2015', '02/22/2015']]",/Restaurant_Review-g187849-d7209625-Reviews-M_ama_Milano-Milan_Lombardy.html,d7209625,https://www.tripadvisor.com//Restaurant_Review-g187849-d7209625-Reviews-M_ama_Milano-Milan_Lombardy.html,36,1,0,0,0,1
12,id_12,Munich,['Greek'],1987.0,$,10.0,"[['You always feel very Welcome at this cozy...'], ['03/20/2010']]",/Restaurant_Review-g187309-d958943-Reviews-Wrossis-Munich_Upper_Bavaria_Bavaria.html,d958943,https://www.tripadvisor.com//Restaurant_Review-g187309-d958943-Reviews-Wrossis-Munich_Upper_Bavaria_Bavaria.html,18,0,1,0,0,0
13,id_13,Hamburg,,1000.0,,30.0,"[['Surprisingly good pizza', 'Yummy'], ['09/28/2017', '09/19/2016']]",/Restaurant_Review-g187331-d1344523-Reviews-Il_Cammino-Hamburg.html,d1344523,https://www.tripadvisor.com//Restaurant_Review-g187331-d1344523-Reviews-Il_Cammino-Hamburg.html,47,2,2,2,0,1
14,id_14,Prague,"['European', 'Czech', 'Eastern European', 'Central European']",1105.0,$$ - $$$,273.0,"[['Good food, beer, value and service', 'Eat underground in a cave'], ['04/18/2017', '03/01/2017']]",/Restaurant_Review-g274707-d1093021-Reviews-U_Zlateho_Lva-Prague_Bohemia.html,d1093021,https://www.tripadvisor.com//Restaurant_Review-g274707-d1093021-Reviews-U_Zlateho_Lva-Prague_Bohemia.html,367,81,25,7,6,15
15,id_15,Paris,['French'],12899.0,$,39.0,"[['Very nice food and staff', 'Lovely service and staff!'], ['01/01/2017', '11/12/2016']]",/Restaurant_Review-g187147-d7605609-Reviews-Le_Barouf-Paris_Ile_de_France.html,d7605609,https://www.tripadvisor.com//Restaurant_Review-g187147-d7605609-Reviews-Le_Barouf-Paris_Ile_de_France.html,57,4,6,0,0,2
16,id_16,Milan,"['Pizza', 'Vegetarian Friendly', 'Vegan Options']",1825.0,$$ - $$$,322.0,"[['truly Neapolitan pizza, new/slick location', 'Good pizza but i expected better from this...'], ['06/21/2017', '03/23/2017']]",/Restaurant_Review-g187849-d11850449-Reviews-Pizzeria_Da_Michele_I_Condurro-Milan_Lombardy.html,d11850449,https://www.tripadvisor.com//Restaurant_Review-g187849-d11850449-Reviews-Pizzeria_Da_Michele_I_Condurro-Milan_Lombardy.html,496,4,4,4,0,1
17,id_17,London,"['Bar', 'British', 'Pub', 'Vegetarian Friendly', 'Gluten Free Options']",2349.0,$$ - $$$,282.0,"[['Quite a decent pub', 'in the middle of nothing'], ['12/28/2017', '12/12/2017']]",/Restaurant_Review-g186338-d2188276-Reviews-The_Pilot_Inn-London_England.html,d2188276,https://www.tripadvisor.com//Restaurant_Review-g186338-d2188276-Reviews-The_Pilot_Inn-London_England.html,364,126,135,37,23,28
18,id_18,Vienna,,3360.0,,2.0,"[[], []]",/Restaurant_Review-g190454-d8435085-Reviews-Angkor_Club-Vienna.html,d8435085,https://www.tripadvisor.com//Restaurant_Review-g190454-d8435085-Reviews-Angkor_Club-Vienna.html,3,0,2,0,0,1
19,id_19,Dublin,"['Italian', 'Pizza', 'European', 'Gluten Free Options', 'Vegetarian Friendly']",717.0,$$ - $$$,102.0,"[['Local joy', 'Cozy, cute and good food'], ['08/24/2017', '07/20/2017']]",/Restaurant_Review-g186605-d2177920-Reviews-Bianconi_s_Bistro-Dublin_County_Dublin.html,d2177920,https://www.tripadvisor.com//Restaurant_Review-g186605-d2177920-Reviews-Bianconi_s_Bistro-Dublin_County_Dublin.html,126,65,30,8,10,7
20,id_20,Barcelona,,6085.0,,8.0,"[[], []]",/Restaurant_Review-g187497-d8334752-Reviews-Restaurante_Laumon-Barcelona_Catalonia.html,d8334752,https://www.tripadvisor.com//Restaurant_Review-g187497-d8334752-Reviews-Restaurante_Laumon-Barcelona_Catalonia.html,0,0,0,0,0,0
21,id_21,London,"['Bar', 'Pizza', 'British', 'Vegetarian Friendly', 'Vegan Options']",1769.0,$$ - $$$,68.0,"[['Pizza and Mac & Cheese are on POINT!', 'Great atmosphere and pizza!'], ['12/05/2017', '10/23/2017']]",/Restaurant_Review-g186338-d11749014-Reviews-Tank_Paddle_Minster_Court-London_England.html,d11749014,https://www.tripadvisor.com//Restaurant_Review-g186338-d11749014-Reviews-Tank_Paddle_Minster_Court-London_England.html,135,90,22,5,4,8
22,id_22,Barcelona,"['Mediterranean', 'Spanish', 'Vegetarian Friendly']",2853.0,$$ - $$$,71.0,"[['Amazing', 'Loved It!!!!'], ['09/24/2017', '07/20/2015']]",/Restaurant_Review-g187497-d1216215-Reviews-La_Llesca_Sant_Andreu-Barcelona_Catalonia.html,d1216215,https://www.tripadvisor.com//Restaurant_Review-g187497-d1216215-Reviews-La_Llesca_Sant_Andreu-Barcelona_Catalonia.html,79,8,7,3,1,0
23,id_23,Brussels,"['Italian', 'Mediterranean', 'Pizza']",1255.0,$$ - $$$,51.0,"[['Good pizza in Woluwe', 'Cosy environment'], ['10/09/2017', '06/04/2017']]",/Restaurant_Review-g1136495-d7653791-Reviews-Pinocchio-Woluwe_Saint_Lambert_Brussels.html,d7653791,https://www.tripadvisor.com//Restaurant_Review-g1136495-d7653791-Reviews-Pinocchio-Woluwe_Saint_Lambert_Brussels.html,63,2,5,2,1,0
24,id_24,Barcelona,"['Spanish', 'Vegetarian Friendly']",1909.0,$,130.0,"[['The cheese sauce is the way.', 'Vegan experience'], ['11/28/2016', '10/28/2016']]",/Restaurant_Review-g187497-d6539478-Reviews-Crum-Barcelona_Catalonia.html,d6539478,https://www.tripadvisor.com//Restaurant_Review-g187497-d6539478-Reviews-Crum-Barcelona_Catalonia.html,0,0,0,0,0,0
25,id_25,Madrid,,5828.0,,,"[[], []]",/Restaurant_Review-g187514-d13202032-Reviews-Wan-Madrid.html,d13202032,https://www.tripadvisor.com//Restaurant_Review-g187514-d13202032-Reviews-Wan-Madrid.html,0,0,0,0,0,0
26,id_26,Rome,"['Italian', 'Mediterranean', 'Vegetarian Friendly', 'Vegan Options']",1726.0,$$ - $$$,228.0,"[['Good regional cooking and friendly staff', 'A bit old fahion, but a nice place'], ['05/31/2017', '03/17/2017']]",/Restaurant_Review-g187791-d2061134-Reviews-La_Balestra-Rome_Lazio.html,d2061134,https://www.tripadvisor.com//Restaurant_Review-g187791-d2061134-Reviews-La_Balestra-Rome_Lazio.html,300,37,16,1,0,3
27,id_27,Barcelona,"['Mediterranean', 'Spanish']",2283.0,$,18.0,"[['Great time at Balabar', 'Great local tapas bar'], ['01/10/2018', '08/10/2017']]",/Restaurant_Review-g187497-d10133841-Reviews-Balabar-Barcelona_Catalonia.html,d10133841,https://www.tripadvisor.com//Restaurant_Review-g187497-d10133841-Reviews-Balabar-Barcelona_Catalonia.html,23,6,1,0,0,0
28,id_28,Barcelona,,6133.0,,19.0,"[[], []]",/Restaurant_Review-g187497-d5795143-Reviews-La_Bona_Taula_de_Llica-Barcelona_Catalonia.html,d5795143,https://www.tripadvisor.com//Restaurant_Review-g187497-d5795143-Reviews-La_Bona_Taula_de_Llica-Barcelona_Catalonia.html,26,5,9,8,1,3
29,id_29,Oslo,"['French', 'European', 'Norwegian', 'Italian', 'Vegetarian Friendly', 'Gluten Free Options']",550.0,$$ - $$$,465.0,"[['Lovely food!', 'Nightmare'], ['02/26/2017', '11/11/2017']]",/Restaurant_Review-g190479-d1495732-Reviews-Mona_Lisa_Ristorante-Oslo_Eastern_Norway.html,d1495732,https://www.tripadvisor.com//Restaurant_Review-g190479-d1495732-Reviews-Mona_Lisa_Ristorante-Oslo_Eastern_Norway.html,464,61,66,23,25,29
30,id_30,Madrid,['European'],2418.0,$$ - $$$,38.0,"[['Atmosphere and drinks nice', 'Spectacular Views'], ['08/05/2017', '09/30/2017']]",/Restaurant_Review-g187514-d8537746-Reviews-The_Azotea_En_Casa_Decor-Madrid.html,d8537746,https://www.tripadvisor.com//Restaurant_Review-g187514-d8537746-Reviews-The_Azotea_En_Casa_Decor-Madrid.html,44,6,7,2,1,3
31,id_31,Paris,,3156.0,,19.0,"[['Very good food'], ['09/24/2017']]",/Restaurant_Review-g187147-d11953078-Reviews-Bistrot_Wattignies-Paris_Ile_de_France.html,d11953078,https://www.tripadvisor.com//Restaurant_Review-g187147-d11953078-Reviews-Bistrot_Wattignies-Paris_Ile_de_France.html,22,0,1,0,0,0
32,id_32,London,"['African', 'Moroccan', 'Middle Eastern', 'Mediterranean', 'Halal', 'Vegetarian Friendly', 'Gluten Free Options']",6233.0,$$ - $$$,244.0,"[['Very tasty food and impeccable service!', 'Wanted to like it more, but too many disap...'], ['12/13/2017', '09/19/2017']]",/Restaurant_Review-g186338-d1018463-Reviews-Souk_Bazaar-London_England.html,d1018463,https://www.tripadvisor.com//Restaurant_Review-g186338-d1018463-Reviews-Souk_Bazaar-London_England.html,1428,513,363,190,136,170
33,id_33,Milan,['Indian'],3667.0,$$ - $$$,94.0,"[['Nothing special, lazy service', 'Great food'], ['11/01/2016', '05/10/2016']]",/Restaurant_Review-g187849-d3532770-Reviews-Nabab-Milan_Lombardy.html,d3532770,https://www.tripadvisor.com//Restaurant_Review-g187849-d3532770-Reviews-Nabab-Milan_Lombardy.html,94,1,3,3,0,0
34,id_34,Paris,['French'],476.0,$$ - $$$,136.0,"[['Worthy of a trip out of the city centre!', 'Great place!'], ['09/20/2017', '04/30/2017']]",/Restaurant_Review-g187147-d9597870-Reviews-La_Table_Des_Insolents-Paris_Ile_de_France.html,d9597870,https://www.tripadvisor.com//Restaurant_Review-g187147-d9597870-Reviews-La_Table_Des_Insolents-Paris_Ile_de_France.html,0,0,0,0,0,0
35,id_35,Paris,['Thai'],7858.0,$,57.0,"[['My go to for great delivery!', 'When you want a taste of Asia in Europe'], ['10/22/2017', '05/22/2017']]",/Restaurant_Review-g187147-d3256188-Reviews-Thai_at_Home_Commerce-Paris_Ile_de_France.html,d3256188,https://www.tripadvisor.com//Restaurant_Review-g187147-d3256188-Reviews-Thai_at_Home_Commerce-Paris_Ile_de_France.html,77,8,1,0,0,0
36,id_36,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",252.0,$$ - $$$,235.0,"[['Very good spot either to eat or have a dri...', 'Feel like a local'], ['01/10/2018', '12/16/2017']]",/Restaurant_Review-g188590-d2095858-Reviews-De_Duvel-Amsterdam_North_Holland_Province.html,d2095858,https://www.tripadvisor.com//Restaurant_Review-g188590-d2095858-Reviews-De_Duvel-Amsterdam_North_Holland_Province.html,318,66,58,11,2,1
37,id_37,London,,5279.0,,19.0,"[['Great atmosphere, great food', 'Brunch'], ['01/07/2018', '01/07/2018']]",/Restaurant_Review-g186338-d13234520-Reviews-The_Granary_Brasserie-London_England.html,d13234520,https://www.tripadvisor.com//Restaurant_Review-g186338-d13234520-Reviews-The_Granary_Brasserie-London_England.html,690,293,150,101,63,51
38,id_38,Paris,"['French', 'European', 'Vegetarian Friendly']",1722.0,$$ - $$$,572.0,"[['Upstairs Quieter and Pleasant', 'Delicious, but a bit expensive'], ['12/19/2017', '10/22/2017']]",/Restaurant_Review-g187147-d1326624-Reviews-Le_Castiglione-Paris_Ile_de_France.html,d1326624,https://www.tripadvisor.com//Restaurant_Review-g187147-d1326624-Reviews-Le_Castiglione-Paris_Ile_de_France.html,746,169,157,69,31,33
39,id_39,Oslo,,609.0,,2.0,"[['Fantastic, friendly service', 'High quality cozy neighborhood coffee bar'], ['08/24/2017', '02/15/2017']]",/Restaurant_Review-g190479-d12170920-Reviews-Kaffegutta-Oslo_Eastern_Norway.html,d12170920,https://www.tripadvisor.com//Restaurant_Review-g190479-d12170920-Reviews-Kaffegutta-Oslo_Eastern_Norway.html,3,2,0,0,0,0
40,id_40,London,"['British', 'Welsh', 'Vegetarian Friendly', 'Gluten Free Options']",1053.0,$$$$,118.0,"[['Do it', 'Anniversary Brunch'], ['12/08/2017', '11/27/2017']]",/Restaurant_Review-g186338-d3339988-Reviews-GWR_Pullman_Dining-London_England.html,d3339988,https://www.tripadvisor.com//Restaurant_Review-g186338-d3339988-Reviews-GWR_Pullman_Dining-London_England.html,251,199,27,7,7,11
41,id_41,Paris,"['American', 'Steakhouse']",13116.0,$$ - $$$,372.0,"[['Worst experience ever!!', 'Bad everything'], ['01/07/2018', '12/27/2017']]",/Restaurant_Review-g187147-d695231-Reviews-Buffalo_Grill-Paris_Ile_de_France.html,d695231,https://www.tripadvisor.com//Restaurant_Review-g187147-d695231-Reviews-Buffalo_Grill-Paris_Ile_de_France.html,462,18,38,28,20,62
42,id_42,Berlin,,4222.0,,13.0,"[['Great pub', 'Not a friendly pub, but the beer is ok'], ['10/30/2016', '08/26/2016']]",/Restaurant_Review-g187323-d8180306-Reviews-Celtic_Cottage-Berlin.html,d8180306,https://www.tripadvisor.com//Restaurant_Review-g187323-d8180306-Reviews-Celtic_Cottage-Berlin.html,20,3,1,0,1,0
43,id_43,Lyon,,2208.0,,5.0,"[[], []]",/Restaurant_Review-g187265-d11959505-Reviews-Jasmin_Tandoori-Lyon_Rhone_Auvergne_Rhone_Alpes.html,d11959505,https://www.tripadvisor.com//Restaurant_Review-g187265-d11959505-Reviews-Jasmin_Tandoori-Lyon_Rhone_Auvergne_Rhone_Alpes.html,14,7,1,0,3,3
44,id_44,Edinburgh,"['Seafood', 'European', 'British', 'Soups', 'Scottish', 'Vegetarian Friendly', 'Gluten Free Options']",266.0,$$$$,4567.0,"[['Come for the wine more than the food', 'Desserts make this 4*'], ['01/11/2018', '01/05/2018']]",/Restaurant_Review-g186525-d720945-Reviews-The_Witchery_by_the_Castle-Edinburgh_Scotland.html,d720945,https://www.tripadvisor.com//Restaurant_Review-g186525-d720945-Reviews-The_Witchery_by_the_Castle-Edinburgh_Scotland.html,6010,2668,1122,900,506,268
45,id_45,Paris,['French'],12709.0,$$ - $$$,49.0,"[['Touristy Cafe - Expensive', 'Much Better than Expected'], ['10/16/2016', '06/14/2016']]",/Restaurant_Review-g187147-d1439340-Reviews-Tours_Notre_Dame-Paris_Ile_de_France.html,d1439340,https://www.tripadvisor.com//Restaurant_Review-g187147-d1439340-Reviews-Tours_Notre_Dame-Paris_Ile_de_France.html,59,6,4,5,1,7
46,id_46,Paris,"['French', 'African']",10412.0,,12.0,"[[], []]",/Restaurant_Review-g187147-d4988279-Reviews-Le_Bois_d_Ebene_Chez_Benoit-Paris_Ile_de_France.html,d4988279,https://www.tripadvisor.com//Restaurant_Review-g187147-d4988279-Reviews-Le_Bois_d_Ebene_Chez_Benoit-Paris_Ile_de_France.html,14,6,5,0,1,2
47,id_47,Paris,"['French', 'Fusion']",3859.0,$$ - $$$,144.0,"[['Good food', 'complete satisfaction'], ['11/09/2016', '01/31/2015']]",/Restaurant_Review-g187147-d1336377-Reviews-La_Baraque-Paris_Ile_de_France.html,d1336377,https://www.tripadvisor.com//Restaurant_Review-g187147-d1336377-Reviews-La_Baraque-Paris_Ile_de_France.html,163,1,1,0,0,2
48,id_48,Athens,['Greek'],1077.0,,3.0,"[['Thomas'], ['01/06/2016']]",/Restaurant_Review-g189400-d8747125-Reviews-Your_sweet_home-Athens_Attica.html,d8747125,https://www.tripadvisor.com//Restaurant_Review-g189400-d8747125-Reviews-Your_sweet_home-Athens_Attica.html,6,2,0,0,0,0
49,id_49,London,"['Moroccan', 'Mediterranean', 'Middle Eastern', 'Vegetarian Friendly', 'Halal']",3777.0,$$ - $$$,788.0,"[['Best for: North African food with an atmos...', 'Souk Medina - for an Authentic Turkish Mea...'], ['01/02/2018', '12/29/2017']]",/Restaurant_Review-g186338-d737345-Reviews-Souk_Medina-London_England.html,d737345,https://www.tripadvisor.com//Restaurant_Review-g186338-d737345-Reviews-Souk_Medina-London_England.html,1428,513,363,190,136,170
50,id_50,Budapest,"['Italian', 'Pizza', 'Street Food']",1983.0,$,7.0,"[['The best in Budapest so far'], ['03/05/2017']]",/Restaurant_Review-g274887-d10788740-Reviews-Pizza_Raketa-Budapest_Central_Hungary.html,d10788740,https://www.tripadvisor.com//Restaurant_Review-g274887-d10788740-Reviews-Pizza_Raketa-Budapest_Central_Hungary.html,13,1,0,0,0,2
51,id_51,Warsaw,,817.0,,10.0,"[['Cozy and cute, good selection of beer, nic...', 'Very cozy place and good food!'], ['04/19/2017', '10/23/2016']]",/Restaurant_Review-g274856-d9561771-Reviews-Zegarmistrzowska-Warsaw_Mazovia_Province_Central_Poland.html,d9561771,https://www.tripadvisor.com//Restaurant_Review-g274856-d9561771-Reviews-Zegarmistrzowska-Warsaw_Mazovia_Province_Central_Poland.html,19,1,1,0,0,0
52,id_52,Budapest,"['Hungarian', 'Cafe']",1731.0,$$ - $$$,17.0,"[['Nice cafe', 'special cakes'], ['07/01/2016', '11/03/2015']]",/Restaurant_Review-g274887-d8262476-Reviews-Concerto_Cafe-Budapest_Central_Hungary.html,d8262476,https://www.tripadvisor.com//Restaurant_Review-g274887-d8262476-Reviews-Concerto_Cafe-Budapest_Central_Hungary.html,17,5,3,3,1,0
53,id_53,Prague,,2095.0,,,"[[], []]",/Restaurant_Review-g274707-d7124128-Reviews-Chocobamba-Prague_Bohemia.html,d7124128,https://www.tripadvisor.com//Restaurant_Review-g274707-d7124128-Reviews-Chocobamba-Prague_Bohemia.html,2,0,0,0,0,1
54,id_54,Lyon,"['French', 'Mediterranean']",966.0,$$ - $$$,20.0,"[[], []]",/Restaurant_Review-g187265-d12006420-Reviews-Les_Mangeurs_de_Toiles-Lyon_Rhone_Auvergne_Rhone_Alpes.html,d12006420,https://www.tripadvisor.com//Restaurant_Review-g187265-d12006420-Reviews-Les_Mangeurs_de_Toiles-Lyon_Rhone_Auvergne_Rhone_Alpes.html,0,0,0,0,0,0
55,id_55,Madrid,,6819.0,,10.0,"[['Coffee was fine - and as it says low price'], ['04/21/2017']]",/Restaurant_Review-g187514-d11633790-Reviews-La_Andaluza_low_cost-Madrid.html,d11633790,https://www.tripadvisor.com//Restaurant_Review-g187514-d11633790-Reviews-La_Andaluza_low_cost-Madrid.html,19,0,2,0,0,0
56,id_56,London,"['Indian', 'Asian']",13559.0,$$ - $$$,13.0,"[['Dinner', ""Mum's 80th Birthday Surprise Lunch""], ['05/24/2017', '06/28/2016']]",/Restaurant_Review-g186338-d4919094-Reviews-Blue_Ginger-London_England.html,d4919094,https://www.tripadvisor.com//Restaurant_Review-g186338-d4919094-Reviews-Blue_Ginger-London_England.html,22,7,2,2,2,9
57,id_57,London,"['British', 'Vegetarian Friendly']",5315.0,$$ - $$$,44.0,"[['Nice lunch spot', 'Great team lunch'], ['12/22/2017', '11/06/2017']]",/Restaurant_Review-g186338-d11867015-Reviews-Clerkenwell_Grind-London_England.html,d11867015,https://www.tripadvisor.com//Restaurant_Review-g186338-d11867015-Reviews-Clerkenwell_Grind-London_England.html,136,65,28,16,9,14
58,id_58,Barcelona,['Mediterranean'],5164.0,,14.0,"[[], []]",/Restaurant_Review-g187497-d3672020-Reviews-Nosa-Barcelona_Catalonia.html,d3672020,https://www.tripadvisor.com//Restaurant_Review-g187497-d3672020-Reviews-Nosa-Barcelona_Catalonia.html,14,11,2,1,0,0
59,id_59,Lyon,,1819.0,,5.0,"[[], []]",/Restaurant_Review-g187265-d8448700-Reviews-L_Olympic-Lyon_Rhone_Auvergne_Rhone_Alpes.html,d8448700,https://www.tripadvisor.com//Restaurant_Review-g187265-d8448700-Reviews-L_Olympic-Lyon_Rhone_Auvergne_Rhone_Alpes.html,5,0,5,0,0,0
60,id_60,Bratislava,"['European', 'Asian', 'Thai', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",14.0,$$ - $$$,646.0,"[['Magnificent quirky cocktails', 'Afternoon Cocktails'], ['02/20/2018', '02/13/2018']]",/Restaurant_Review-g274924-d1804870-Reviews-Sky_Bar_Restaurant-Bratislava_Bratislava_Region.html,d1804870,https://www.tripadvisor.com//Restaurant_Review-g274924-d1804870-Reviews-Sky_Bar_Restaurant-Bratislava_Bratislava_Region.html,865,315,179,66,26,19
61,id_61,Barcelona,"['Mediterranean', 'Spanish', 'Wine Bar', 'Seafood']",1826.0,$$ - $$$,28.0,"[['Great stop', 'Superb tapas!'], ['10/22/2017', '05/06/2017']]",/Restaurant_Review-g187497-d11855366-Reviews-Bodega_Vidrios_y_Cristales-Barcelona_Catalonia.html,d11855366,https://www.tripadvisor.com//Restaurant_Review-g187497-d11855366-Reviews-Bodega_Vidrios_y_Cristales-Barcelona_Catalonia.html,83,19,4,3,0,1
62,id_62,Budapest,"['European', 'Central European', 'Hungarian']",872.0,$,23.0,"[['Fantastic little hidden place', 'Very delicious food in the citycenter'], ['12/14/2017', '10/16/2017']]",/Restaurant_Review-g274887-d7249260-Reviews-Mensa_Andreas-Budapest_Central_Hungary.html,d7249260,https://www.tripadvisor.com//Restaurant_Review-g274887-d7249260-Reviews-Mensa_Andreas-Budapest_Central_Hungary.html,58,23,8,1,1,0
63,id_63,Barcelona,,4730.0,,14.0,"[['Elegant yet approachable'], ['05/23/2015']]",/Restaurant_Review-g187497-d5776216-Reviews-Al_Dente-Barcelona_Catalonia.html,d5776216,https://www.tripadvisor.com//Restaurant_Review-g187497-d5776216-Reviews-Al_Dente-Barcelona_Catalonia.html,16,1,0,0,0,0
64,id_64,London,"['Bar', 'Pub']",6672.0,$$ - $$$,19.0,"[['Worth a visit for fish n chips!', 'Such a nice atmosphere'], ['11/03/2017', '10/08/2017']]",/Restaurant_Review-g186338-d10147127-Reviews-The_Ferry_House-London_England.html,d10147127,https://www.tripadvisor.com//Restaurant_Review-g186338-d10147127-Reviews-The_Ferry_House-London_England.html,44,26,8,3,2,5
65,id_65,Vienna,,2846.0,,3.0,"[[], []]",/Restaurant_Review-g190454-d11769083-Reviews-Pizzeria_Tomato-Vienna.html,d11769083,https://www.tripadvisor.com//Restaurant_Review-g190454-d11769083-Reviews-Pizzeria_Tomato-Vienna.html,4,1,1,0,2,0
66,id_66,Oporto,,878.0,,7.0,"[[], []]",/Restaurant_Review-g189180-d11667248-Reviews-Confeitaria_Sao_Joao_da_Foz-Porto_Porto_District_Northern_Portugal.html,d11667248,https://www.tripadvisor.com//Restaurant_Review-g189180-d11667248-Reviews-Confeitaria_Sao_Joao_da_Foz-Porto_Porto_District_Northern_Portugal.html,8,4,3,1,0,0
67,id_67,Paris,"['American', 'Barbecue']",225.0,$$ - $$$,215.0,"[['A little piece of Texas in Paris.', 'Excellent meal'], ['01/06/2018', '01/04/2018']]",/Restaurant_Review-g187147-d11857524-Reviews-Melt-Paris_Ile_de_France.html,d11857524,https://www.tripadvisor.com//Restaurant_Review-g187147-d11857524-Reviews-Melt-Paris_Ile_de_France.html,436,58,10,6,3,1
